Rank,Release Group,Worldwide,Domestic,%,Foreign,%
155,Even if This Love Disappears from the World Tonight,"$7,810,235",-,-,"$7,810,235",100%
156,Sword Art Online: Progressive - Scherzo of Deep Night,"$7,597,857",-,-,"$7,597,857",100%
157,Finnick,"$7,544,884",-,-,"$7,544,884",100%
158,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
159,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
160,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
161,Laid-Back Camp: The Movie,"$7,304,830",-,-,"$7,304,830",100%
162,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
163,Chempion mira,"$7,107,163",-,-,"$7,107,163",100%
164,Mobile Suit Gundam: Cucuruz Doan's Island,"$7,006,640",-,-,"$7,006,640",100%
165,Menteur 2022 Re-release,"$6,899,633",-,-,"$6,899,633",100%
166,She Said,"$6,748,852","$4,470,795",66.2%,"$2,278,057",33.8%
167,Rabbit Academy,"$6,744,299",-,-,"$6,744,299",100%
168,How About Adolf?,"$6,612,082",-,-,"$6,612,082",100%
169,National Theatre Live: Prima Facie,"$6,558,843",-,-,"$6,558,843",100%
170,Honest Candidate 2,"$6,433,696",-,-,"$6,433,696",100%
171,"Farewell, Mr. Haffmann","$6,408,729",-,-,"$6,408,729",100%
172,Cyrano,"$6,395,311","$3,873,124",60.6%,"$2,522,187",39.4%
173,Marcel the Shell with Shoes On,"$6,336,735","$6,333,702",100%,"$3,033",<0.1%
174,The New Toy,"$6,324,794",-,-,"$6,324,794",100%
175,Bones and All,"$6,120,403","$4,020,403",65.7%,"$2,100,000",34.3%
176,The Exorcism of God,"$6,098,813",-,-,"$6,098,813",100%
177,Notre-Dame on Fire,"$6,058,274",-,-,"$6,058,274",100%
178,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
179,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
180,Last Seen Alive,"$5,950,199",-,-,"$5,950,199",100%
181,The One,"$5,886,018",-,-,"$5,886,018",100%
182,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
183,Maigret,"$5,797,633",-,-,"$5,797,633",100%
184,Goliath,"$5,797,270",-,-,"$5,797,270",100%
185,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
186,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
187,Fireheart,"$5,766,782","$49,848",0.9%,"$5,716,934",99.1%
188,Irréductible,"$5,704,956",-,-,"$5,704,956",100%
189,Jaws 2022 Re-release,"$5,631,998","$5,100,765",90.6%,"$531,233",9.4%
190,The One 2022 Re-release,"$5,624,487",-,-,"$5,624,487",100%
191,God's Crooked Lines,"$5,606,514",-,-,"$5,606,514",100%
192,Artek: Bolshoe puteshestvie,"$5,486,204",-,-,"$5,486,204",100%
193,Jeepers Creepers: Reborn,"$5,482,117","$2,033,057",37.1%,"$3,449,060",62.9%
194,Confession,"$5,448,399",-,-,"$5,448,399",100%
195,Thiruchitrambalam,"$5,342,111",-,-,"$5,342,111",100%
196,Mama's Affair,"$5,331,535",-,-,"$5,331,535",100%
197,Lifemark,"$5,276,266","$5,180,537",98.2%,"$95,729",1.8%
198,The Wandering Moon,"$5,262,479",-,-,"$5,262,479",100%
199,Les Segpa,"$5,212,123",-,-,"$5,212,123",100%
200,War Sailor,"$5,194,738",-,-,"$5,194,738",100%
